Sentence,Sentiment,sentiment_score,clean_sentence,wordlen
"Everything was nice. The ice cream was delicious, no overwhelming alcohol taste & an interesting variety of flavors. Service was fine, place was clean. I'll go back, but only because I have a killer sweet tooth and they're in the neighborhood.",3,5.0,everyth nice ice cream delicious overwhelm alcohol tast interest varieti flavor servic fine place clean ill go back killer sweet tooth theyr neighborhood,23
"(Un)fortunately for me, lux is close to my house.  I walk there nearly every day and am much poorer because of it.  The coffee and pastries are amazing.  They always play really great music too!",5,10.0,unfortun me lux close house walk nearli everi day much poorer it coffe pastri amazing alway play realli great music too,21
"After watching her win on Cupcake Wars I was determined to find this place (It's very well hidden)and sample the cupcakes.  I have to say I was not impressed; i make better cupcakes on my own.  More creative and not so sweet you'll go into a diabetic coma.  i did have a California BLT as well and it was a good sandwich although the bread was a little too toasted for my liking.  The staff was friendly, the ambiance was very pleasant and it was clean.  But the cupcakes...really not all that.  Sorry....",3,5.0,watch win cupcak war determin find place it well hiddenand sampl cupcake say impressed make better cupcak own creativ sweet youll go diabet coma california blt well good sandwich although bread littl toast liking staff friendly ambianc pleasant clean cupcakesr that sorry,42
Good for an easy and leisurely business lunch or outing with the girls.  The market downstairs is great for takeout and a great selection of bakery treats.,4,7.5,good easi leisur busi lunch outing girl market downstair great takeout great select bakeri treat,15
"Fred M. pretty much said what I would say, so I won't beat a dead horse.  I'll add, though, that they offer a wide variety of deep-fried quesadillas.  

Did you catch that?

DEEP FRIED QUESADILLAS!",5,10.0,fred m pretti much said would say wont beat dead horse ill add though offer wide varieti deepfri quesadilla catch that deep fri quesadilla,24
"This would most certainly be ""my"" coffee shop if I hadn't already established myself as a regular at another local shop. This brand-new, independent coffee shop has spent the money to look really nice (it even has a fountain inside!).

But what money can't buy is community and unfortunately this shop doesn't seem to have much of that. Granted, building community takes time and/or energy. For their sake, I really really hope it works out in the long-run.",4,7.5,would certainli my coffe shop hadnt alreadi establish regular anoth local shop brandnew independ coffe shop spent money look realli nice it even fountain inside money cant buy commun unfortun shop doesnt seem much that granted build commun take time andor energy sake realli realli hope work longrun,48
No matter what I order I know it will be tasty. Maizie's have a lot to choose from which can be a little overwhelming for me. I love their wait staff everyone is always friendly. When I am in Maizie's I feel like I am in a neighborhood hang out.,4,7.5,matter order know tasty maizie lot choos littl overwhelm me love wait staff everyon alway friendly maizie feel like neighborhood hang out,22
"One of the spot my coworkers and I go to for lunch. We usually try to get there before 11am (weekdays) to beat the rush from all the Corporate places near the MetroCenter.  

The deli sandwiches are good.  I usually stick to getting the Amy's turkey-O.  If you plan on substituting a side, make sure you tell them because the cashiers don't normally ask and you'll be stuck with chips.  The salad bar here is very decent for the price.  

Don't forget to get ice cream on the way out!",4,7.5,one spot cowork go lunch usual tri get am weekday beat rush corpor place near metrocenter deli sandwich good usual stick get amy turkeyo plan substitut side make sure tell cashier dont normal ask youll stuck chip salad bar decent price dont forget get ice cream way out,48
"Not busy at all but took nearly 45 min to get our meal.  Ordered the trout and was shocked to see lots and lots of bones. Hmmmmm. Well asked the waitress about it and she said ""they try the best they can""  hmmmmmm isn't this a ""fish"" restaurant? 
They comped the trout but still not sure I would go back.",1,0.0,busi took nearli  min get meal order trout shock see lot lot bone hmmmmm well ask waitress said they tri best can hmmmmmm isnt fish restaurant comp trout still sure would go back,33
"This an incredible church that embraces the principle that ......Christ Life Church exists to bring people into a life-changing relationship with Jesus Christ.  Three campuses allow Christ Life to reach into several locations...online, Tempe and Casa Grande.   The wonderful children's and youth programs appeal to a wide perspective of people.",5,10.0,incred church embrac principl christ life church exist bring peopl lifechang relationship jesu christ three campus allow christ life reach sever locationsonline temp casa grande wonder child youth program appeal wide perspect people,33
"This is our favorite breakfast place. The food is good. They have the best biscuits & gravy of any restaurant I have eaten at. The wait staff is friendly. The only complaint I have is that Sunday mornings are packed, so there can be a wait to be seated.",5,10.0,favorit breakfast place food good best biscuit gravi restaur eaten at wait staff friendly complaint sunday morn packed wait seated,20
"The best sweet and sour soup ever!  Food is delicious and favorable.  Delivery is pretty good, nice people.",4,7.5,best sweet sour soup ever food delici favorable deliveri pretti good nice people,13
"I had looked at several invitation websites along with catalogs with no luck in finding just the right balance of wedding colors/design.  Thomas at Alphagraphics helped me every step of the way of designing and printing our wedding invitations and programs.  I knew I wanted a booklet-style, but needed a little design creativity from Alphagraphics which they nailed!  I highly recommend Alphagraphics to anyone needing any print work done - not just wedding invitations.  Thomas and his crew are stellar!!",5,10.0,look sever invit websit along catalog luck find right balanc wed colorsdesign thoma alphagraph help everi step way design print wed invit program knew want bookletstyle need littl design creativ alphagraph nailed highli recommend alphagraph anyon need print work done wed invitation thoma crew stellar,45
"Every now and then my Vietnamese side craves for PHO...are you surprised!?  Noodle Ranch is my local Pho joint.  I can literally walk to this place :)  Okay, the Pho Tai is great here....I got the combination once and it wasn't as good.  I love the decor here lots and lots of old photos of Vietnam.  Service is always good here and I've been here when their busy and when it's slow.  If you need a Pho fix I would definitely recommend this place!",4,7.5,everi vietnames side crave phoar surprised noodl ranch local pho joint liter walk place okay pho tai great herei got combin wasnt good love decor lot lot old photo vietnam servic alway good iv busi it slow need pho fix would definit recommend place,44
"Great Southwestern restaurant.  The food is incredible, especially the stacked enchiladas.  Normally I do not eat heavy foods, but this was way too good to pass up.  The chips and salsa were very tasty as well.

Service was very friendly and timely.  The interior is pedestrian at best, but still a pleasant environment.",4,7.5,great southwestern restaurant food incredible especi stack enchilada normal eat heavi food way good pas up chip salsa tasti well servic friendli timely interior pedestrian best still pleasant environment,29
"Great prices, great food. The staff is very friendly... I'll definitely be coming back here for lunch on a more regular basis. I had the kung pao, and the portions were incredible for the $5 I paid. 

Not mind blowing, but better than most Chinese places I've been to in the Valley.",4,7.5,great price great food staff friendly ill definit come back lunch regular basis kung pao portion incred  paid mind blowing better chine place iv valley,25
Came here with a large group a while back.  We were there to eat and have a beer before a concert there. It was a weekday so we made it to happy hour. Happy Hour pricing was fair. The food was pretty good. The very best thing there is the beer!  They had like everything on tap! MMMM!,5,10.0,came larg group back eat beer concert there weekday made happi hour happi hour price fair food pretti good best thing beer like everyth tap mmmm,26
"This is my first year participating in Arizona to sell clothing, just wandering how busy its goona be in there ??? little worried, can any one reply me ??",1,0.0,first year particip arizona sell clothing wander busi goona littl worried one repli,13
"Great place to have a meal with family, can be a little on the loud side cause ita always a busy place, recomend calling ahead and getting name put on waiting list, reservations party of six or more only price range moderate, but well worth it",4,7.5,great place meal family littl loud side caus ita alway busi place recomend call ahead get name put wait list reserv parti six price rang moderate well worth,28
"I can't describe to you how amazing these gourmet adult hot pockets taste! They literally MELT in your mouth- a few of my favorites are the Cajun Chicken, Dill Salmon, and the Stilton & Steak---Bon Appetit everyone! And don't forget about the all day everyday-$3 car bombs(you can't beat that price) their happy hour is amazing, too!",5,10.0,cant describ amaz gourmet adult hot pocket taste liter melt mouth favorit cajun chicken dill salmon stilton steakbon appetit everyone dont forget day everyday car bombsyou cant beat price happi hour amazing too,33
"The beach paradise of Ixtapa-Zihuatenejo awaited us....unfortunately, so did a connecting flight in ARIZONA of all places...

Long story short....1/3 of our luggage did not arrive at our final destination, various articles of our clothing are still missing as well as my cell phone charger...not to mention security forcing us to open sealed containers of my son's baby food and milk for litmus tests...

I looked on the bright side....at least we didn't get deported =)",1,0.0,beach paradis ixtapazihuatenejo await usunfortunately connect flight arizona place long stori short luggag arriv final destination variou articl cloth still miss well cell phone chargernot mention secur forc u open seal contain son babi food milk litmu test look bright sideat least didnt get deport,45
"So very Portlandia in its hipsterness and decor. Premium coffee roasted in-house, in the middle of the desert, no less! Who would have thunk it.

Baristas were profesh and friendly. They even warmed up our pastries upon request. Perfectly foamed milk and fruity noted espresso. I hope this place has a long life in Scottsdale, where great coffee is few and far between.",5,10.0,portlandia hipster decor premium coffe roast inhouse middl desert le would thunk it barista profesh friendly even warm pastri upon request perfectli foam milk fruiti note espresso hope place long life scottsdale great coffe far between,36
This is a little hockey dive-bar located in the Arcadia area.  TV screens hang above the bar & as you look behind the bar you can see the hockey rink and players.  Enternaining as the other review said.  I had Dunkel Hefeweisen and my girlfriend had a Corona.  Good times as a group of kids played Rock Band and sang off-key Nirvana covers.  I like this little hidden place.  Just be prepared - it's your average little bar for the average Joe guy.,4,7.5,littl hockey divebar locat arcadia area tv screen hang bar look behind bar see hockey rink player enternain review said dunkel hefeweisen girlfriend corona good time group kid play rock band sang offkey nirvana cover like littl hidden place prepar it averag littl bar averag joe guy,47
"Love this place. Actually, today was awesome, because they usually only offer the ""express dozen"" through the drive thru, and the kids didn't want to go in, so the dude behind the speaker actually fulfilled my order as I wanted.

The only thing that bugs the hell out of me is that they charge for 2 donuts when you get a long john. :-(",4,7.5,love place actually today awesome usual offer express dozen drive thru kid didnt want go in dude behind speaker actual fulfil order wanted thing bug hell charg  donut get long john,31
"I grew up on Empanadas in Panama and I have been hard pressed to find anything close to them in the U.S.. today I found them! 

A perfectly crunchy crust and the beef was beautifully spiced. Usually Empanadas are bland and soggy. They did a great job on these.

I usually don't like rice, but the rice and black beans were wonderful. 

Service was great! I'll be back!",4,7.5,grew empanada panama hard press find anyth close u today found them perfectli crunchi crust beef beauti spiced usual empanada bland soggy great job these usual dont like rice rice black bean wonderful servic great ill back,37
Awesome subs clean and friendly well priced.,5,10.0,awesom sub clean friendli well priced,6
"Had dinner and brunch, not on the same day...the dinner was good, although I thought the mandala masala could have used more flavor.  Brunch was great, tried 2 different tofu scrambles and both were very good.  Service is...let's say uninterested -- it's hard to be burdened with angst and chipper.",4,7.5,dinner brunch dayth dinner good although thought mandala masala could use flavor brunch great tri  differ tofu scrambl good servic islet say uninterest it hard burden angst chipper,28
This is a very interesting place.  Don't go here thinking it will be classy.,4,7.5,interest place dont go think classy,6
"I LOVE Chic Nails!

I used to go to Tip & Toes on 48th street and Ray Road, until one day they were ""too busy"" to take my friend and I in for pedicured. We discovered Chic Nails and have been doing all of our manicures and pedicures there since. 

The staff is extremely friendly and they give the best pedicures for a very reasonable price. I highly recommend this nail salon over any other!

P.S. It is extremely close to CK's Bar & Grill to go for happy hour after! :)",5,10.0,love chic nail use go tip toe th street ray road one day too busy take friend pedicured discov chic nail manicur pedicur since staff extrem friendli give best pedicur reason price highli recommend nail salon other p extrem close ck bar grill go happi hour after,47
"Best food, super friendly staff, and great prices. Love it!",5,10.0,best food super friendli staff great price love it,9
Great food and awesome service! Even better that the Chef came out and personally checked on our experience. I will be back for more delicious BBQ,3,5.0,great food awesom service even better chef came person check experience back delici bbq,14
"As Target's go this one is standard fare. That consistency is part of their brand recognition. However, as a part of the Up-Scale Desert Ridge Shopping Center, I'd expect a bit more than a Standard Target. Don't they have some sort of a Flagship Target?

Also traffic and parking can be atrocious at Desert Ridge. I drive to Target's and WalMart's much further from my house because the round trip time is less when I don't have to negotiate the teen packed Desert Ridge lot. Probably safer too.",3,5.0,target go one standard fare consist part brand recognition however part upscal desert ridg shop center id expect bit standard target dont sort flagship target also traffic park atroci desert ridge drive target walmart much hous round trip time le dont negoti teen pack desert ridg lot probabl safer too,50
"It's just like pizza bianco without the wait. This pizza is a 9.9999 and bianco is a 10. This place has a much larger menu and their deserts are to die for. 

If bianco has more then a 30 min wait just drive and or walk here.",5,10.0,it like pizza bianco without wait pizza  bianco  place much larger menu desert die for bianco  min wait drive walk here,21
This is my first time back in years. It will be my last. I was in the bar area for lunch it was almost 1hour 25 min before I could get out. Ten min before my drink order and almost as long before food order. A secound drink forget it. Guy next to me walked out.,2,2.5,first time back year last bar area lunch almost hour  min could get out ten min drink order almost long food order secound drink forget it guy next walk out,30
Returned Sunday afternoon and was  pleasantly suprised. Happy Hour is 7 days a week 3-7 pm   ; )    I recieved great service at the bar which was friendly fast and efficient(Janessa) .I ordered couple of drafts and wings with good happy hour pricing! I will be back!,3,5.0,return sunday afternoon pleasantli suprised happi hour  day week  pm reciev great servic bar friendli fast efficientjanessa i order coupl draft wing good happi hour pricing back,27
"Absolutely the best sushi in the valley, hands down.  The fish is fresh and their spicy tuna is like no other.  However, the service is extremely slow. We once waited 75 minutes to get our lunch and the restaurant wasn't even full.  Can't say much about the cooked food though, but the sushi is amazing.",3,5.0,absolut best sushi valley hand down fish fresh spici tuna like other however servic extrem slow wait  minut get lunch restaur wasnt even full cant say much cook food though sushi amazing,32
"It was as good as everyone says!  And sooo inexpensive...appetizers, entrees, and drinks for 3 people...about 30 bones.  Not to mention the mountain of leftovers we brought home.",4,7.5,good everyon say sooo inexpensiveappetizers entree drink  peopleabout  bone mention mountain leftov brought home,14
Friend and I were planning on going to Postino's next door but it was already packed at 5:30 on a Thu... Anyway we tried out Aiello's and were happily surprised. I had the Scallops Venezia and my friend had the veal. Both were very well done and the bread was delicious.,4,7.5,friend plan go postino next door alreadi pack  thu anyway tri aiello happili surprised scallop venezia friend veal well done bread delicious,22
"I have had a great experience every time I have been there.  The food is hard to beat and the service was pleasant.  

Portions are reasonable, not huge (I'm a big feller), and I was satified every time I ate there.  

Very pleasant environment, clean, spacious and calm.",5,10.0,great experi everi time there food hard beat servic pleasant portion reasonable huge im big feller satifi everi time ate there pleasant environment clean spaciou calm,26
"I love this restaurant!! I have been a fan of the Newport Beach location for years. Scottsdale definitely did not disappoint! The staff is friendly and knowledgeable. The drinks are fresh (worth the extra wait for the tasty Cucumber Jalape√±o marg). And the food? Goes without saying, it's CRAVE worthy. This is a new location, so I expected the usual growing pains. But overall, a great dining experience. Welcome to the neighborhood, SOL Cocina!",5,10.0,love restaurant fan newport beach locat year scottsdal definit disappoint staff friendli knowledgeable drink fresh worth extra wait tasti cucumb jalape„±o marg food goe without saying it crave worthy new location expect usual grow pain overall great dine experience welcom neighborhood sol cocina,43
"That darn Smokehouse burger is awesome. 5 stars. 

The smoked corn was a little Meh... it was oily like not butter oily... not a huge fan of the texture either. I like corn crunchy and it was not. 

Service was great. 

I did see an unmentionable bug running around near the back entrance towards the chicken rotisserie thing, but bugs have to eat too right? (still 5 stars lol)",5,10.0,darn smokehous burger awesome  star smoke corn littl meh oili like butter oily huge fan textur either like corn crunchi not servic great see unmention bug run around near back entranc toward chicken rotisseri thing bug eat right still  star lol,41
"The florist manager is great, but i have not had a great experience with the night manager.  He seemed upset that i was stopping him from tidying the shelves to ask about putting an order in for flowers.  

He said he had no clue how to order flowers and could not help me. I would need to come in and speak to the Florist Manager in the morning..... Well I work and i wanted to order flowers as a surprise thats why i was there in the evening. 

thought it was odd.",3,5.0,florist manag great great experi night manager seem upset stop tidi shelv ask put order flower said clue order flower could help me would need come speak florist manag morning well work want order flower surpris that evening thought odd,40
"Came for a friend's birthday and really was not that impressed. First of all, it took us a while to find parking as this place only has street parking and a few spots in back. On Saturday if you are there before 7pm, all alcohol was 1/2 off and some appetizers were on special. We ate dinner there and the menu was very limited. The food was okay, but our burgers were over cooked. The service was slow and it took us a while to get our check. I'd go to hang out again and have a few drinks, but I wouldn't suggest making this your regular hang out.",3,5.0,came friend birthday realli impressed first all took u find park place street park spot back saturday pm alcohol  appet special ate dinner menu limited food okay burger cooked servic slow took u get check id go hang drink wouldnt suggest make regular hang out,45
"Excellent service and food.

Very clean.

Friendly folks.

Beautiful patio",4,7.5,excel servic food clean friendli folk beauti patio,8
"This is my 2nd time to this AMC.  I like it!  It is huge and clean.  The wait for tickets were quick and they have it set up that it is a hotel check in.  Not behind a bullet proof pawn shop set up.  LOL!  The concession area was huge with mutliple lines open.  Not much of a wait either.  

Walked into theater #10, not too shabby.  Pretty big screen and clean seats.  The speakers sounded great.  I had a great time.",4,7.5,nd time amc like it huge clean wait ticket quick set hotel check in behind bullet proof pawn shop set up lol concess area huge mutlipl line open much wait either walk theater  shabby pretti big screen clean seat speaker sound great great time,44
Affordable and good.  Clean restaurant.  Will return.,3,5.0,afford good clean restaurant return,5
"Absolutely horrendous.  This post office will lose your mail (repeatedly), laugh about it to your face, lie about it, blow it off, make it seem like it's your fault and make you wish you had sent it UPS.",1,0.0,absolut horrendous post offic lose mail repeatedly laugh face lie it blow off make seem like it fault make wish sent ups,22
Very polite staff. Did not wait very long to be seen.,4,7.5,polit staff wait long seen,5
"Other than the really great happy hour prices, its hit or miss with this place. More often a miss. :(

The food is less than average, the drinks NOT strong ( at least they are inexpensive) , but the service is truly hit or miss.

I'll pass.",1,0.0,realli great happi hour price hit miss place often miss food le average drink strong least inexpensive servic truli hit miss ill pas,23
"Service was faster than some of the other (but better) Indian restaurants I have been to in the area. The food was so-so. Nothing special. I enjoy spicy Indian food, but the ""hot"" was not. The only reason we ate there was the buy one get one free in the Phoenix area coupon book... no that, was a good value.",3,5.0,servic faster but better indian restaur area food soso noth special enjoy spici indian food hot not reason ate buy one get one free phoenix area coupon book that good value,31
Great place for brunch or to relax with a coffee. Their hot chocolate is amazing.,5,10.0,great place brunch relax coffee hot chocol amazing,8
"Went here for the first time a few weeks ago. The owner was snoring when I walked in, so that was odd and kind of a turn off. Their regular manicures are cheap- $10, but the experience overall was so-so. It got busier as my manicure was going on, so it got a little better. Parking is pretty bad..they have approx. 3 spaces. Manicure was fine..have a range of OPI but all their polishes were jumbled together which I hate. Overall, for a few dollars more there are better places, even down the street.",2,2.5,went first time week ago owner snore walk in odd kind turn off regular manicur cheap  experi overal soso got busier manicur go on got littl better park pretti badthey approx  space manicur finehav rang opi polish jumbl togeth hate overall dollar better place even street,46
"Been here for many years but have seen a recent decline in quality service. Felt scolded by the bartender today at lunch. Felt disrespected as a customer. Service sucks stay away. ""bad service = bad review""",1,0.0,mani year seen recent declin qualiti service felt scold bartend today lunch felt disrespect customer servic suck stay away bad servic bad review,23
"Hands down the best breakfast I've ever had, anywhere. It definitely feels like home cooked breakfast. I've never been to this place on the weekend when it isn't packed out the door. I'm not the only person that loves this place!",5,10.0,hand best breakfast iv ever had anywhere definit feel like home cook breakfast iv never place weekend isnt pack door im person love place,24
"I'm torn.


I LOVED my $20 facial. I'll probably go back for more once Groupon and the like run out of deals.

However, I also got a brow and eyelas tinting.  I wouldn't recommend that service from here.  My brows were uneven, and my lashes faded out quicker than normal.",3,5.0,im torn love  facial ill probabl go back groupon like run deal however also got brow eyela tinting wouldnt recommend servic here brow uneven lash fade quicker normal,28
"I met up with a few ladies here for drinks a few weeks back at the suggestion of someone else. We didn't end up playing pool, just enjoyed our drinks at the bar before moving over to a table. We were definitely over dressed and probably out of place, but it was a chill place to let loose. Drinks were okay, food was nothing outstanding, prices were to be expected.",3,5.0,met ladi drink week back suggest someon else didnt end play pool enjoy drink bar move table definit dress probabl place chill place let loose drink okay food noth outstanding price expected,32
"I am a way more frequent visitor of the bell rd location, but sometimes I have to travel downtown for work. When I do, I make my route pass by this place because I have to have dutch bros.  The guys at the bell location are pretty familiar with me by now but these guys still treat you as if you are there best customer. And it's the best coffee I've ever had.",5,10.0,way frequent visitor bell rd location sometim travel downtown work do make rout pas place dutch bros guy bell locat pretti familiar guy still treat best customer it best coffe iv ever had,33
Even more great news....on Tuesdays there is a special of 35c per ounce. Not that I needed another incentive...but this is GREAT.,5,10.0,even great newson tuesday special c per ounce need anoth incentivebut great,12
"Been there, done that.  Fair sandwiches (better than Safeway, anyway).  Only 2 stars since I didn't know about the free soft serve, so didn't get to try that.

There's gotta be a good New York-style deli west of the 17 and north of Thunderbird.  Isn't there?  Doesn't have to be great.  Good would be wonderful.",2,2.5,there done that fair sandwich better safeway anyway  star sinc didnt know free soft serve didnt get tri that there gotta good new yorkstyl deli west  north thunderbird isnt there doesnt great good would wonderful,35
"Meh....decent Filibertos knockoff but the place feels like a major health hazard considering how new it is.

Just think Filibertos with less quality control and smaller portions.",2,2.5,mehdec filiberto knockoff place feel like major health hazard consid new is think filiberto le qualiti control smaller portion,19
Gaylee is great! She is super sweet and so professional! Her work is amazing. I found her through one of those online deals and now I am convinced that I will never go elsewhere. Keep up the great work!,5,10.0,gayle great super sweet professional work amazing found one onlin deal convinc never go elsewhere keep great work,18
"No frills.  Nothing fancy.  Just some honest burritos and tacos.  Voted ""best taco"" by New Times a few years back (in the 90's).  Not sure I agree, but they consistently satisfy.  They make a hearty breakfast burrito too.  If you're looking for Sonoran or Tex-Mex or anything beyond what you might find at Filiberto's, try somewhere else.  The red burro combo is my personal favorite.  It's saucy (enchilada style) and just spicy enough.  Bottled beer available.",3,5.0,frill noth fancy honest burrito taco vote best taco new time year back in  sure agree consist satisfy make hearti breakfast burrito too your look sonoran texmex anyth beyond might find filibertos tri somewher else red burro combo person favorite it sauci enchilada style spici enough bottl beer available,49
"Went here this morning around 10 am. There was like a 20 minute wait, but no biggie. Service was fast, orders were fresh and correct, and place was clean. It is the Waffle House, not a fancy joint. So for what it is, it was good. Plus the staff are all very easy going and create a fun lively atmosphere. Good for a casual breakfast.",4,7.5,went morn around  am like  minut wait biggie servic fast order fresh correct place clean waffl house fanci joint is good plu staff easi go creat fun live atmosphere good casual breakfast,32
"Service was good, however my fettucine alfredo with meatballs was just OK. I would pass on this menu item the next and try something different.",3,5.0,servic good howev fettucin alfredo meatbal ok would pas menu item next tri someth different,15
