Sentence,Sentiment,sentiment_score,clean_sentence,wordlen
cho face amaze slapstick instrument create scrapbook live mug shots,0.77778,7.7778,cho face amaz slapstick instrument creat scrapbook live mug shot,10
city remind realistically nuanced robert niro performance lucratively engage shameless analyze this analyze that promise threaten later year,0.63889,6.3889,citi remind realist nuanc robert niro perform lucr engag shameless analyz analyz promis threaten later year,16
creates worst kind mythologize kind sacrifice real heroism abject suffer melodrama,0.15278,1.5278,creat worst kind mytholog kind sacrific real heroism abject suffer melodrama,11
crystal niro manage squeeze good laugh enough make silly con job sing,0.51389,5.1389,crystal niro manag squeez good laugh enough make silli con job sing,12
create substantive movie several cliched movie structure road movie movie teenage sex comedy,0.81944,8.1944,creat substant movi sever clich movi structur road movi movi teenag sex comedi,13
espite familiar subject matter ice age consistently amuse engross,0.77778,7.7778,espit familiar subject matter ice age consist amus engross,9
danny huston give astound performance deftly gradually reveal real human soul bury beneath spellbind serpent smirk,0.90278,9.027800000000001,danni huston give astound perform deftli gradual reveal real human soul buri beneath spellbind serpent smirk,16
davis bright chipper style keep things move never quite manage connect character human race,0.66667,6.6667,davi bright chipper style keep thing move never quit manag connect charact human race,14
davis want cause audience epiphany yet,0.51389,5.1389,davi want caus audienc epiphani yet,6
palma bad really bad femme fatale rank worst,0.069444,0.6944400000000001,palma bad realli bad femm fatal rank worst,8
denis narrative closely resemble outline exploitation picture finish product,0.36111,3.6111,deni narr close resembl outlin exploit pictur finish product,9
denis story become hopeless unsatisfying muddle,0.23611,2.3611,deni stori becom hopeless unsatisfi muddl,6
denis accomplish chill unnerve film,0.68056,6.8056,deni accomplish chill unnerv film,5
director peter jackson crew steep majesty tolkien write every frame produce new joy whether fan book,0.88889,8.8889,director peter jackson crew steep majesti tolkien write everi frame produc new joy whether fan book,16
ventually every idea film flush latrine heroism,0.20833,2.0833,ventual everi idea film flush latrin heroism,7
evans fascinate character deserve better vehicle facetious smirk movie,0.25,2.5,evan fascin charact deserv better vehicl faceti smirk movi,9
rom performances cinematography outstanding soundtrack unconventional narrative,0.76389,7.6389,rom perform cinematographi outstand soundtrack unconvent narr,7
rom performances cinematography outstanding soundtrack unconventional narrative film blazingly alive admirable many level,0.77778,7.7778,rom perform cinematographi outstand soundtrack unconvent narr film blazingli aliv admir mani level,13
ferrera charisma young woman know hold screen,0.81944,8.1944,ferrera charisma young woman know hold screen,7
fessenden much ambiguity create mood screen thrill,0.625,6.25,fessenden much ambigu creat mood screen thrill,7
fiji diver rusi vulakoro marry couple howard michelle hall,0.61111,6.1111,fiji diver rusi vulakoro marri coupl howard michel hall,9
fiji diver rusi vulakoro marry couple howard michelle hall show world love make,0.66667,6.6667,fiji diver rusi vulakoro marri coupl howard michel hall show world love make,13
fiji diver rusi vulakoro marry couple howard michelle hall show world love make love,0.875,8.75,fiji diver rusi vulakoro marri coupl howard michel hall show world love make love,14
fincher camera sense assure pace,0.55556,5.5556,fincher camera sen assur pace,5
fincher camera sense assure pace make thriller,0.73611,7.3611,fincher camera sen assur pace make thriller,7
gai come closer actress remember personify independence purest yes intimidate form,0.73611,7.3611,gai come closer actress rememb personifi independ purest ye intimid form,11
garbus discard potential pathological study exhume instead skew melodrama circumstantial situation,0.47222,4.7222,garbu discard potenti patholog studi exhum instead skew melodrama circumstanti situat,11
gayton script telegraph every discovery layer gloss convenience,0.73611,7.3611,gayton script telegraph everi discoveri layer gloss conveni,8
gosling combination explosive physical energy convince intelligence,0.69444,6.9444,gosl combin explos physic energi convinc intellig,7
gosling combination explosive physical energy convince intelligence help create complex unpredictable character,0.77778,7.7778,gosl combin explos physic energi convinc intellig help creat complex unpredict charact,12
grant go beyond usual flutter stammer capture soul man pain gradually come recognize deal,0.76389,7.6389,grant go beyond usual flutter stammer captur soul man pain gradual come recogn deal,14
suffer bleed hard grind drang want something bite complex were soldiers remember,0.30556,3.0556,suffer bleed hard grind drang want someth bite complex soldier rememb,11
has immediacy intimacy suck dare believe,0.83333,8.3333,immediaci intimaci suck dare believ,5
has immediacy intimacy suck dare believe true,0.77778,7.7778,immediaci intimaci suck dare believ true,6
haynes homage film all that heaven allows imitation life transcend simply put,0.83333,8.3333,hayn homag film heaven allow imit life transcend simpli put,10
haynes homage film all that heaven allows imitation life transcend simply put far from heaven masterpiece,0.94444,9.4444,hayn homag film heaven allow imit life transcend simpli put far heaven masterpiec,13
haynes homage film all that heaven allows imitation life transcend,0.56944,5.6944,hayn homag film heaven allow imit life transcend,8
hell look watch realize serving sara even halfway,0.16667,1.6667,hell look watch realiz serv sara even halfway,8
one indie flick life chance already see kind thing,0.27778,2.7778,one indi flick life chanc alreadi see kind thing,9
punk rock music use video medium could use spirit perception conviction,0.66667,6.6667,punk rock music use video medium could use spirit percept convict,11
jackie chan influence start show hong kong film,0.51389,5.1389,jacki chan influenc start show hong kong film,8
jackson bledel seem pick act chop look appeal crowd,0.31944,3.1944,jackson bledel seem pick act chop look appeal crowd,9
janey forget obligations lead tragedy somehow guessable first minutes maybe echo intolerable morbidity many recent movies,0.23611,2.3611,janey forget oblig lead tragedi somehow guessabl first minut mayb echo intoler morbid mani recent movi,16
javier bardem one reason watch film director gerardo vera drench swoony music melodrama,0.55556,5.5556,javier bardem one reason watch film director gerardo vera drench swooni music melodrama,13
jeff gorgeous fluid compositions underline neil finn edmund mcwilliams melancholy music charge metaphor rarely easy obvious,0.66667,6.6667,jeff gorgeou fluid composit underlin neil finn edmund mcwilliam melancholi music charg metaphor rare easi obviou,16
johnnie wai fai sure find enthusiastic audience among american buff film interest may narrow attract crossover viewers,0.31944,3.1944,johnni wai fai sure find enthusiast audienc among american buff film interest may narrow attract crossov viewer,17
kim begin overplay shock tactics metaphors,0.22222,2.2222,kim begin overplay shock tactic metaphor,6
kissinger guilty criminal activity contemporary statesmen,0.54167,5.4167,kissing guilti crimin activ contemporari statesman,6
lawrence bounce stage dance run sweat mop face generally display wacky talent bring fame first place,0.77778,7.7778,lawrenc bounc stage danc run sweat mop face gener display wacki talent bring fame first place,16
lee treat audience way jim brown treat women dumb credulous unassuming subordinate subject,0.15278,1.5278,lee treat audienc way jim brown treat woman dumb credul unassum subordin subject,13
lee treat audience way jim brown treat women dumb credulous unassuming subordinate subject and,0.097222,0.9722200000000001,lee treat audienc way jim brown treat woman dumb credul unassum subordin subject,13
leigh true talent draw wrench performances actors improvise many months convey way tiny act kindness make ordinary life survivable,0.875,8.75,leigh true talent draw wrench perform actor improvis mani month convey way tini act kind make ordinari life surviv,19
less movie appal odoriferous thing,0.13889,1.3889,le movi appal odorifer thing,5
less movie appal odoriferous thing rotten almost every single facet production want crawl embarrassment,0.027778,0.27778,le movi appal odorifer thing rotten almost everi singl facet product want crawl embarrass,14
lin chung voice rather unexceptional even,0.25,2.5,lin chung voic rather unexcept even,6
macdowell venture beyond abilities several time reveal bad actress,0.15278,1.5278,macdowel ventur beyond abil sever time reveal bad actress,9
madonna within film first five minutes,0.44444,4.4444,madonna within film first five minut,6
majidi make think twice immigrants see around every day,0.44444,4.4444,majidi make think twice immigr see around everi day,9
moore better finger problems find solutions,0.29167,2.9166999999999996,moor better finger problem find solut,6
moore better finger problems find solutions but,0.47222,4.7222,moor better finger problem find solut,6
moore noisy cocky energy passion class consciousness need shticks,0.75,7.5,moor noisi cocki energi passion class conscious need shtick,9
morgan judd franklin save script root novel joseph finder opportunism,0.44444,4.4444,morgan judd franklin save script root novel joseph finder opportun,10
matter much good actors generate showtime eventually fold thinness,0.16667,1.6667,matter much good actor gener showtim eventu fold thin,9
nelson movie morally compromise figure,0.52778,5.2778,nelson movi moral compromis figur,5
nelson movie morally compromise figure leave viewers feel compromise unable find way fog ash,0.41667,4.1667,nelson movi moral compromis figur leav viewer feel compromis unabl find way fog ash,14
newton wander charlie completely unaware need show presence star quality,0.23611,2.3611,newton wander charli complet unawar need show presenc star qualiti,10
artnering murphy robert niro comedy showtime would seem surefire cast the catch stick script prevent fire cylinders,0.29167,2.9166999999999996,artner murphi robert niro comedi showtim would seem surefir cast catch stick script prevent fire cylind,16
raimi mature quite bite even though one plain white toast comic book film,0.56944,5.6944,raimi matur quit bite even though one plain white toast comic book film,13
raimi mature quite bite even though one plain white toast comic book film ever see,0.56944,5.6944,raimi matur quit bite even though one plain white toast comic book film ever see,15
ramsay visually transform dreary expanse distaste character inhabit poem art music metaphor,0.88889,8.8889,ramsay visual transform dreari expans distast charact inhabit poem art music metaphor,12
reno deliver monologue manage incorporate horror absurdity situation fashion,0.79167,7.9167,reno deliv monologu manag incorpor horror absurd situat fashion,9
scherfig make movie leave wonder character live clever credit roll,0.65278,6.5278,scherfig make movi leav wonder charact live clever credit roll,10
seagal strenuous attempt change expression,0.27778,2.7778,seagal strenuou attempt chang express,5
seagal strenuous attempt change expression could well clinch year razzie,0.26389,2.6389,seagal strenuou attempt chang express could well clinch year razzi,10
seems even uselessly redundant shamelessly horror sequels,0.34722,3.4722,seem even uselessli redund shamelessli horror sequel,7
seinfeld revere show pretty much nothing,0.59722,5.9722,seinfeld rever show pretti much noth,6
sen soap approach undermine good intentions,0.33333,3.3333000000000004,sen soap approach undermin good intent,6
serry want blend politics drama admirable ambition,0.69444,6.9444,serri want blend polit drama admir ambit,7
serry want blend politics drama admirable ambition bad help hand use stir ingredients also heavy one,0.44444,4.4444,serri want blend polit drama admir ambit bad help hand use stir ingredi also heavi one,16
shyamalan continue cut swathe mainstream hollywood retain integrity refuse compromise vision,0.77778,7.7778,shyamalan continu cut swath mainstream hollywood retain integr refus compromis vision,11
siegel lisa bazadona grace woodard,0.44444,4.4444,siegel lisa bazadona grace woodard,5
siegel lisa bazadona grace woodard rely much convention create character surround frankie,0.22222,2.2222,siegel lisa bazadona grace woodard reli much convent creat charact surround franki,12
silver parrot replace morph cute alien creature mimic everyone everything around,0.65278,6.5278,silver parrot replac morph cute alien creatur mimic everyon everyth around,11
skins fault easy forgive intentions lofty,0.625,6.25,skin fault easi forgiv intent lofti,6
stephen earnhart film optimism group people struggle give better lot life ones,0.52778,5.2778,stephen earnhart film optim group peopl struggl give better lot life one,12
stephen earnhart film optimism group people struggle give better lot life ones currently,0.66667,6.6667,stephen earnhart film optim group peopl struggl give better lot life one current,13
stevens stoke make important film human infidelity happenstance toss kitchen sink onto story already overladen plot conceits,0.23611,2.3611,steven stoke make import film human infidel happenst toss kitchen sink onto stori alreadi overladen plot conceit,17
swimfan fall victim sloppy plot insultingly unbelievable final act villainess crazy interest,0.15278,1.5278,swimfan fall victim sloppi plot insultingli unbeliev final act villai crazi interest,12
film never sure make clear point even seek rely ambiguous presentation,0.31944,3.1944,film never sure make clear point even seek reli ambigu present,11
script level direction uneven performances cast members seem bind determine duplicate bela lugosi vampire accent,0.20833,2.0833,script level direct uneven perform cast member seem bind determin duplic bela lugosi vampir accent,15
beguile belgian fable much droll delicate little film touch things say important life,0.72222,7.2222,beguil belgian fabl much droll delic littl film touch thing say import life,13
slop even potential cult film loud shout insult screen,0.15278,1.5278,slop even potenti cult film loud shout insult screen,9
taylor take ride consistently surprise easy watch dumb,0.47222,4.7222,taylor take ride consist surpris easi watch dumb,8
taymor utilize idea make kahlo art live breathe part movie often catapult artist work,0.93056,9.3056,taymor util idea make kahlo art live breath part movi often catapult artist work,14
the digital effect remind terry gilliam rudimentary old monty python cartoon would cut figure draw photograph paste together,0.43056,4.3056,digit effect remind terri gilliam rudimentari old monti python cartoon would cut figur draw photograph past togeth,17
the film tackle topic relationships straightforward emotionally honest manner end,0.66667,6.6667,film tackl topic relationship straightforward emot honest manner end,9
the film tackle topic relationships straightforward emotionally honest manner end impossible ascertain whether film core deeply pessimistic quietly hopeful,0.65278,6.5278,film tackl topic relationship straightforward emot honest manner end imposs ascertain whether film core deepli pessimist quietli hope,18
there quite bite heart would expect directors the little mermaid aladdin,0.73611,7.3611,quit bite heart would expect director littl mermaid aladdin,9
time out human resources establish cantet france foremost cinematic poet workplace,0.61111,6.1111,time human resourc establish cantet franc foremost cinemat poet workplac,10
tries parody genre already joke united states,0.20833,2.0833,tri parodi genr alreadi joke unit state,7
tries parody genre already joke united states the movie equivalent french also seem play delay,0.27778,2.7778,tri parodi genr alreadi joke unit state movi equival french also seem play delay,14
villeneuve seem realize intuitively even morality reduce option ultimate mysteries life death,0.625,6.25,villeneuv seem realiz intuit even moral reduc option ultim mysteri life death,12
hile long amiable monkey worthy environmentalism,0.54167,5.4167,hile long amiabl monkey worthi environment,6
hile long amiable monkey worthy environmentalism jane goodall wild chimpanzees short thrill oversize medium demand,0.375,3.75,hile long amiabl monkey worthi environment jane goodal wild chimpanze short thrill over medium demand,15
washington strong hand keen eye sweet spirit good taste,0.79167,7.9167,washington strong hand keen eye sweet spirit good tast,9
washington strong hand keen eye sweet spirit good taste reflect almost every scene,0.86111,8.6111,washington strong hand keen eye sweet spirit good tast reflect almost everi scene,13
westbrook make wonderful subject camera,0.80556,8.0556,westbrook make wonder subject camera,5
while the last metro melodramatic confine single theater company strategies deceptions tavernier concern entire period history,0.61111,6.1111,last metro melodramat confin singl theater compani strategi decept taverni concern entir period histori,14
woo resonant film since the killer,0.75,7.5,woo reson film sinc killer,5
adapt david hare michael cunningham novel,0.5,5.0,adapt david hare michael cunningham novel,6
literally toss around sex toy offer paeans empowerment repeatedly undercut brutality joke women expense,0.16667,1.6667,liter toss around sex toy offer paean empower repeatedli undercut brutal joke woman expens,14
bizarre funny tragic like love new york,0.70833,7.0833,bizarr funni tragic like love new york,7
mere story point view film ice cold,0.29167,2.9166999999999996,mere stori point view film ice cold,7
especially frank sex scenes ensure film never dull,0.72222,7.2222,especi frank sex scene ensur film never dull,8
